id,crewdos,return,title,revenue,budget,year
117164,Richard W Munchkin,0,Guardian Angel,0,0,1994
11448,Woody Allen,0.446666667,Mighty Aphrodite,6700000,15000000,1995
49133,Gianni Amelio,0,Lamerica,0,0,1994
26441,Holly Goldberg Sloan,0,The Big Green,0,0,1995
97406,Ulu Grosbard,0,Georgia,0,0,1995
124057,Robert Tinnell,0,Kids of the Round Table,0,0,1997
9089,Jodie Foster,0,Home for the Holidays,17519169,0,1995
11010,Michael Radford,0,The Postman,0,0,1994
99040,Robert Lepage,0,The Confessional,0,0,1995
11359,Frank Oz,0,The Indian in the Cupboard,0,45000000,1995
17182,John Schlesinger,0,Eye for an Eye,0,20000000,1996
2054,Stephen Herek,0,Mr. Holland's Opus,106269971,0,1995
10607,Paris Barclay,0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,0,1996
19760,Bill Bennett,0,Two If by Sea,0,0,1996
9536,Jason Bloom,0,Bio-Dome,0,15000000,1996
11525,Farhad Mann,0,Lawnmower Man 2: Beyond Cyberspace,2409225,0,1996
40628,James Foley,0,Two Bits,0,0,1995
4482,Josiane Balasko,0,French Twist,0,0,1995
10634,F Gary Gray,8.061690857,Friday,28215918,3500000,1995
755,Robert Rodriguez,1.359821895,From Dusk Till Dawn,25836616,19000000,1996
11859,Andrew Sipes,0.23068954,Fair Game,11534477,50000000,1995
28387,Noah Baumbach,0,Kicking and Screaming,718490,0,1995
48750,Claude Lelouch,0,Les Miserables,0,0,1995
20927,Michael Goldenberg,0,Bed of Roses,19030691,0,1996
36929,Steve Miner,0.136168667,Big Bully,2042530,15000000,1996
9102,Christian Duguay,0.28909425,Screamers,5781885,20000000,1995
124626,Susanne Ofteringer,0,Nico Icon,0,0,1995
27526,Sean Penn,0,The Crossing Guard,0,0,1995
9623,Brian Gibson,0,The Juror,0,44000000,1996
46785,Jafar Panahi,0,The White Balloon,0,0,1995
400,Gary Fleder,0.06622075,Things to Do in Denver When You're Dead,529766,8000000,1995
880,Marleen Gorris,0,Antonia's Line,0,900000,1995
146599,Tim Reid,0,Once Upon a Time... When We Were Colored,0,0,1996
188588,Henry Jaglom,0,Last Summer in the Hamptons,0,0,1995
8447,Philip Haas,0,Angels and Insects,0,0,1995
10534,Ridley Scott,0.271052632,White Squall,10300000,38000000,1996
17414,Ken Kwapis,0,Dunston Checks In,0,16000000,1996
13997,Penelope Spheeris,0,Black Sheep,32,0,1996
2086,John Badham,1.00073237,Nick of Time,8175346,8169363,1995
61548,John Duigan,0,The Journey of August King,0,0,1995
9095,Stephen Frears,0.263391532,Mary Reilly,12379402,47000000,1996
12158,Wes Craven,1.414285714,Vampire in Brooklyn,19800000,14000000,1995
9283,Ted Demme,0,Beautiful Girls,0,0,1996
9208,John Woo,3.00540294,Broken Arrow,150270147,50000000,1996
40154,Kenneth Branagh,0,A Midwinter's Tale,0,0,1995
406,Mathieu Kassovitz,0,La Haine,0,3000000,1995
45549,Paul WS Anderson,0,Shopping,0,0,1994
63076,Nick Broomfield,0,Heidi Fleiss: Hollywood Madam,0,0,1995
11062,Harold Becker,0,City Hall,0,0,1996
13685,Wes Anderson,0.080009857,Bottle Rocket,560069,7000000,1996
47475,Nick Castle,0,Mr. Wrong,0,0,1996
2045,John Dahl,0,Unforgettable,0,18000000,1996
9614,Dennis Dugan,3.43375825,Happy Gilmore,41205099,12000000,1996
688,Clint Eastwood,7.584025708,The Bridges of Madison County,182016617,24000000,1995
11907,Doris DArrie,0,Nobody Loves Me,0,0,1994
10874,Brian Henson,0,Muppet Treasure Island,34327391,0,1996
89333,Robert Leacock,0,Catwalk,0,0,1995
96357,James Bruce,0,Headless Body in Topless Bar,0,0,1995
197,Mel Gibson,2.916666667,Braveheart,210000000,72000000,1995
103,Martin Scorsese,21.74044154,Taxi Driver,28262574,1300000,1976
33542,Stanley Tong,4.3189396,Rumble in the Bronx,32392047,7500000,1995
43566,Barbet Schroeder,0,Before and After,0,35000000,1996
71754,Mort Ransen,0,Margaret's Museum,0,0,1995
43612,Atienne Chatiliez,0,Happiness Is in the Field,0,13365000,1995
51352,Jon Blair,0,Anne Frank Remembered,1,0,1995
16934,Benjamin Ross,0,The Young Poisoner's Handbook,0,0,1995
10324,Eric Schaeffer,0,If Lucy Fell,0,0,1996
78406,Andrew Davis,0.25112556,Steal Big Steal Little,6278139,25000000,1995
55731,Charles T Kanganis,0,Race the Sun,0,0,1996
32119,John N Smith,0,The Boys of St. Vincent,0,0,1992
11066,Reginald Hudlin,1.7525,Boomerang,70100000,40000000,1992
11104,Wong Karwai,0,Chungking Express,0,0,1994
37975,Giuseppe Tornatore,0,The Star Maker,0,0,1995
2074,David O Russell,2.100348286,Flirting with Disaster,14702438,7000000,1996
27793,Peter MacDonald,0,The Neverending Story III: Escape from Fantasia,0,17000000,1994
44284,Moufida Tlatli,0,The Silences of the Palace,0,0,1994
290157,Michel Negroponte,0,Jupiter's Wife,0,0,1995
110972,Bryan Gordon,0,Pie in the Sky,0,0,1996
32622,Rebecca Miller,0,Angela,0,0,1995
73067,Michael LindsayHogg,0,Frankie Starlight,0,0,1995
11863,William Friedkin,0.1970322,Jade,9851610,50000000,1995
55475,A�ngel MuAiz,0,Nueba Yol,0,0,1995
124636,Craig Baldwin,0,Sonic Outlaws,0,0,1995
9101,David S Ward,0,Down Periscope,0,0,1996
123360,Mark Rappaport,0,From the Journals of Jean Seberg,0,0,1995
5757,Dirk Shafer,0,Man of the Year,209935,0,1995
39428,Terence Davies,0,The Neon Bible,0,0,1995
124639,Sandip Ray,0,Target,0,0,1995
9302,Jon Avnet,0,Up Close & Personal,0,60000000,1996
11000,Mike Nichols,5.976146871,The Birdcage,185260553,31000000,1996
249882,Jakov Sedlar,0,Virgin Mary,0,0,1995
16388,Edward Burns,0,The Brothers McMullen,0,0,1995
9737,Michael Bay,7.442474947,Bad Boys,141407024,19000000,1995
30765,Christopher Cain,0,The Amazing Panda Adventure,0,0,1995
10474,Scott Kalvert,0,The Basketball Diaries,0,0,1995
22279,Mike Newell,0.21288625,An Awfully Big Adventure,851545,4000000,1995
30157,Hal Hartley,0,Amateur,0,0,1994
568,Ron Howard,6.831498712,Apollo 13,355237933,52000000,1995
11780,Michael CatonJones,1.128461107,Rob Roy,31596911,28000000,1995
34996,Abel Ferrara,0,The Addiction,0,0,1995
414,Joel Schumacher,3.36529144,Batman Forever,336529144,100000000,1995
649,Luis BuAuel,0,Belle de Jour,0,0,1967
1873,John Boorman,0,Beyond Rangoon,0,0,1995
5894,Paul Auster,0.6375,Blue in the Face,1275000,2000000,1995
5894,Wayne Wang,0.6375,Blue in the Face,1275000,2000000,1995
1775,Michael Moore,0.016191273,Canadian Bacon,178104,11000000,1995
8839,Brad Silberling,5.75856388,Casper,287928194,50000000,1995
20649,Spike Lee,0.52286072,Clockers,13071518,25000000,1995
10329,Frank Marshall,3.04044202,Congo,152022101,50000000,1995
8963,Tony Scott,2.969569717,Crimson Tide,157387195,53000000,1995
26564,Terry Zwigoff,0,Crumb,3174695,0,1994
8068,Robert Rodriguez,3.629349286,Desperado,25405445,7000000,1995
8512,Carl Franklin,0.597808222,Devil in a Blue Dress,16140822,27000000,1995
1572,John McTiernan,4.067796289,Die Hard: With a Vengeance,366101666,90000000,1995
13552,Gregg Araki,0,The Doom Generation,0,0,1995
259209,Christopher Menaul,0,Feast of July,0,0,1995
6520,Jerry Zucker,2.320007909,First Knight,127600435,55000000,1995
9073,Dwight H Little,0,Free Willy 2 - The Adventure Home,0,0,1995
10428,Iain Softley,0.3781864,Hackers,7563728,20000000,1995
17447,Christopher Ashley,0,Jeffrey,0,0,1995
9886,Robert Longo,0.7630288,Johnny Mnemonic,19075720,25000000,1995
9482,Danny Cannon,1.261038678,Judge Dredd,113493481,90000000,1995
19326,John Fortenberry,0,Jury Duty,17014653,0,1995
9344,Larry Clark,4.941477333,Kids,7412216,1500000,1995
9071,Tom DiCillo,2.297504,Living in Oblivion,1148752,500000,1995
8973,Clive Barker,0,Lord of Illusions,0,0,1995
15730,Denys Arcand,0,Love & Human Remains,0,0,1993
47608,Antonia Bird,0,Mad Love,15453274,0,1995
2293,Kevin Smith,0.353760167,Mallrats,2122561,6000000,1995
9070,Bryan Spicer,4.4,Mighty Morphin Power Rangers: The Movie,66000000,15000000,1995
68274,David Anspaugh,0,Moonlight and Valentino,0,0,1995
48787,Anthony Waller,0.5,Mute Witness,1,2,1995
34574,Michael Almereyda,0,Nadja,0,0,1994
1642,Irwin Winkler,5.028543864,The Net,110627965,22000000,1995
11472,Chris Columbus,0,Nine Months,69660733,0,1995
36196,Daisy von Scherler Mayer,3.149133333,Party Girl,472370,150000,1995
11980,Gregory Widen,2,The Prophecy,16,8,1995
58372,Norman RenA,0,Reckless,0,0,1995
32646,Todd Haynes,0,Safe,0,0,1995
10533,Roland JoffA,0.20764814,The Scarlet Letter,10382407,50000000,1995
10802,Paul Verhoeven,0.452238978,Showgirls,20350754,45000000,1995
10149,Wayne Wang,1.192775714,Smoke,8349430,7000000,1995
10149,Paul Auster,1.192775714,Smoke,8349430,7000000,1995
18402,Lasse HallstrAm,0,Something to Talk About,50892160,0,1995
9348,Roger Donaldson,3.239260086,Species,113374103,35000000,1995
139408,James Keach,0,The Stars Fell on Henrietta,0,0,1995
281,Kathryn Bigelow,0.189506929,Strange Days,7959291,42000000,1995
5967,Jacques Demy,0,The Umbrellas of Cherbourg,0,0,1964
79593,Wesley Strick,0.412857143,The Tie That Binds,5780000,14000000,1995
47939,Martha Coolidge,0,Three Wishes,7025496,0,1995
36834,Agnieszka Holland,0,Total Eclipse,339889,0,1995
9090,Beeban Kidron,0,"To Wong Foo, Thanks for Everything! Julie Newmar",47774193,0,1995
3512,Geoff Murphy,1.738734717,Under Siege 2: Dark Territory,104324083,60000000,1995
52856,Diane Keaton,0,Unstrung Heroes,0,0,1995
77350,Douglas Keeve,0,Unzipped,0,0,1995
9560,Alfonso ArAu,2.50062535,A Walk in the Clouds,50012507,20000000,1995
9804,Kevin Reynolds,1.5098184,Waterworld,264218220,175000000,1995
31611,Desmond Nakano,0,White Man's Burden,0,8000000,1995
65796,Walter Hill,0,Wild Bill,0,30000000,1995
49805,Mike Figgis,0,The Browning Version,0,0,1994
26258,Greg Beeman,0,Bushwhacked,0,0,1995
50797,Nikita Mikhalkov,0.934465357,Burnt by the Sun,2616503,2800000,1994
19155,MilA�o ManA�evski,0,Before the Rain,763847,0,1994
76,Richard Linklater,2.214162,Before Sunrise,5535405,2500000,1995
11017,Tamra Davis,2.6488734,Billy Madison,26488734,10000000,1995
37141,Guy Ferland,0,The Babysitter,0,0,1995
9382,Herbert Ross,1.116666667,Boys on the Side,23450000,21000000,1995
6715,Peter Horton,0,The Cure,0,0,1995
18256,Stuart Gordon,0,Castle Freak,0,0,1995
2292,Kevin Smith,116.7085185,Clerks,3151130,27000,1994
1909,Jeremy Leven,0.888,Don Juan DeMarco,22200000,25000000,1994
8984,Barry Levinson,3.891183436,Disclosure,214015089,55000000,1994
61813,RenA BonniAre,0,Dream Man,0,0,1995
4954,John Badham,0,Drop Zone,0,45000000,1994
62488,Jack Baran,0,Destiny Turns on the Radio,0,0,1995
10531,Roman Polanski,0,Death and the Maiden,0,0,1994
11929,Taylor Hackford,0,Dolores Claiborne,0,0,1995
8467,Peter Farrelly,15.45471088,Dumb and Dumber,247275374,16000000,1994
8467,Bobby Farrelly,15.45471088,Dumb and Dumber,247275374,16000000,1994
10451,Ang Lee,0,Eat Drink Man Woman,7294403,0,1994
20156,Atom Egoyan,0,Exotica,0,0,1994
18395,Garry Marshall,0,Exit to Eden,6841570,0,1994
522,Tim Burton,0.327080944,Ed Wood,5887457,18000000,1994
397,Lawrence Kasdan,0,French Kiss,0,0,1995
10525,Billy Crystal,0,Forget Paris,0,0,1995
27985,Phillip Borsos,0,Far from Home: The Adventures of Yellow Dog,0,0,1995
15789,Kevin Lima,0,A Goofy Movie,35348597,0,1995
15789,Paul Brizzi,0,A Goofy Movie,35348597,0,1995
27303,Brett Leonard,0.813417,Hideaway,12201255,15000000,1995
21183,Carlo Carlei,0,Fluke,0,0,1995
10954,GArard Corbiau,0,Farinelli,0,0,1994
47867,Mark Lewis,0,Gordy,3992809,0,1995
43475,Art Clokey,0,Gumby: The Movie,0,0,1995
72031,Charles Burnett,0,The Glass Shield,0,0,1994
14275,Steve James,11.18658714,Hoop Dreams,7830611,700000,1994
1024,Peter Jackson,0.609827,Heavenly Creatures,3049135,5000000,1994
17207,Randall Miller,2.507167238,Houseguest,26325256,10500000,1995
13701,Bernard Rose,0,Immortal Beloved,0,120,1994
14819,Steven Brill,0,Heavyweights,17689177,0,1995
32631,J F Lawton,0,The Hunted,0,0,1995
11777,Fred Schepisi,0,I.Q.,0,25000000,1994
628,Neil Jordan,3.727743467,Interview with the Vampire,223664608,60000000,1994
87729,James Ivory,0.176714286,Jefferson in Paris,2474000,14000000,1995
18713,James Melkonian,0,The Jerky Boys,0,0,1995
6280,Ivan Reitman,0.616666667,Junior,37000000,60000000,1994
9061,Arne Glimcher,0,Just Cause,0,0,1995
37108,Michael Gottlieb,0,A Kid in King Arthur's Court,0,0,1995
6071,Barbet Schroeder,0,Kiss of Death,0,40000000,1995
11,George Lucas,70.49072791,Star Wars,775398007,11000000,1977
9587,Gillian Armstrong,0,Little Women,0,18000000,1994
19101,Alfonso CuarAn,0,A Little Princess,0,17000000,1995
49980,Ken Loach,0,Ladybird Ladybird,0,0,1994
17961,Claude Chabrol,0,L'Enfer,0,10000000,1994
18183,Alfonso ArAu,10.832734,Like Water for Chocolate,21665468,2000000,1992
4476,Edward Zwick,5.354629433,Legends of the Fall,160638883,30000000,1994
11008,Nick Castle,0,Major Payne,0,0,1995
47504,James Gray,0,Little Odessa,0,0,1994
32325,Allison Anders,0,Mi Vida Loca,0,0,1994
43742,Glenn Gordon Caron,0,Love Affair,0,60000000,1994
28313,Stephen Gyllenhaal,0.447280353,Losing Isaiah,7603766,17000000,1995
11318,Nicholas Hytner,0,The Madness of King George,0,0,1994
3036,Kenneth Branagh,2.4890288,Mary Shelley's Frankenstein,112006296,45000000,1994
40490,James Orr,0,Man of the House,0,0,1995
24070,Nora Ephron,0,Mixed Nuts,0,15000000,1994
8986,Richard Benjamin,0,Milk Money,18137661,0,1994
10510,Les Mayfield,0,Miracle on 34th Street,46264384,0,1994
17402,David Frankel,0.833333333,Miami Rhapsody,5,6,1995
38722,Gregory Nava,0,My Family,0,5500000,1995
8438,Marc Rocco,0,Murder in the First,17381942,0,1995
11593,Robert Benton,0,Nobody's Fool,0,0,1994
1945,Michael Apted,3.441413452,Nell,106683817,31000000,1994
39310,Nick Gomez,0,New Jersey Drive,0,0,1995
109560,TA�ru Murakawa,0,New York Cop,0,0,1993
56428,Vadim Jean,0,Beyond Bedlam,0,4800000,1994
63105,Albert Pyun,0,Nemesis 2 - Nebula,0,0,1995
131957,Alan Jacobs,0,Nina Takes a Lover,0,0,1995
241,Oliver Stone,1.478904882,Natural Born Killers,50282766,34000000,1994
9058,Norman Jewison,0,Only You,0,0,1994
527,Lee Tamahori,0,Once Were Warriors,2201126,0,1994
18220,Anne Goursaud,0,Poison Ivy II: Lily,0,0,1996
6950,Wolfgang Petersen,3.7971912,Outbreak,189859560,50000000,1995
101,Luc Besson,2.830310875,Leon: The Professional,45284974,16000000,1994
63020,Mira Nair,0.257529636,The Perez Family,2832826,11000000,1995
2307,Joshua Brand,0,A Pyromaniac's Love Story,0,0,1995
680,Quentin Tarantino,26.74109525,Pulp Fiction,213928762,8000000,1994
41478,Mario Van Peebles,0,Panther,6834525,0,1995
25296,Ang Lee,0.380805,Pushing Hands,152322,400000,1992
40156,Antonia Bird,0,Priest,4176932,0,1994
11450,Robert Redford,0,Quiz Show,0,0,1994
30304,Kayo Hatta,0,Picture Bride,0,0,1995
10452,Patrice ChAreau,0,Queen Margot,0,0,1994
12106,Sam Raimi,0.579764375,The Quick and the Dead,18552460,32000000,1995
161495,Peter Yates,0.563636364,Roommates,12400000,22000000,1995
3586,Robert Altman,0.753376867,PrÃªt-Ã -Porter,11300653,15000000,1994
110,Krzysztof KieAlowski,0,Three Colors: Red,0,0,1994
108,Krzysztof KieAlowski,0,Three Colors: Blue,0,0,1993
109,Krzysztof KieAlowski,0,Three Colors: White,0,0,1994
159185,He Ping,0,"Red Firecracker, Green Firecracker",0,0,1994
36357,Fred Gerber,0,Rent-a-Kid,0,0,1995
92769,George Mihalka,0,Relative Fear,0,0,1995
28033,Harold Ramis,0,Stuart Saves His Family,0,0,1995
22586,Richard Rich,0.279190229,The Swan Princess,9771658,35000000,1994
14334,John Sayles,0,The Secret of Roan Inish,0,0,1994
2636,Luis Llosa,3.785835156,The Specialist,170362582,45000000,1994
2164,Roland Emmerich,3.573950218,Stargate,196567262,55000000,1994
11395,John Pasquin,8.628788955,The Santa Clause,189833357,22000000,1994
278,Frank Darabont,1.13365876,The Shawshank Redemption,28341469,25000000,1994
9905,Danny Boyle,0,Shallow Grave,0,0,1994
87078,Scott McGehee,0,Suture,102780,0,1993
87078,David Siegel,0,Suture,102780,0,1993
12527,TomAs GutiArrez Alea,0,Strawberry and Chocolate,0,0,1993
12527,Juan Carlos TabAo,0,Strawberry and Chocolate,0,0,1993
20306,George Huang,0,Swimming with Sharks,0,0,1994
36614,Kevin Dowling,0,The Sum of Us,0,32,1994
36614,Geoff Burton,0,The Sum of Us,0,32,1994
27993,Kelly Makin,0,Senior Trip,0,0,1995
31439,Zhang Yimou,0,To Live,0,0,1994
9067,Rachel Talalay,0.1625798,Tank Girl,4064495,25000000,1995
9059,Ernest R Dickerson,0,Tales from the Crypt: Demon Knight,0,0,1995
193,David Carson,3.157894737,Star Trek: Generations,120000000,38000000,1994
25066,Rusty Cundieff,2,Tales from the Hood,12000000,6000000,1995
46797,Brian Gilbert,0,Tom & Viv,0,0,1994
12122,John Carpenter,0,Village of the Damned,0,0,1995
11381,Peter Segal,0,Tommy Boy,32648673,0,1995
32636,Louis Malle,0,Vanya on 42nd Street,0,0,1994
36141,Steven Soderbergh,0,The Underneath,0,6500000,1995
95963,Preston A Whitmore II,0,The Walking Dead,0,0,1995
1587,Lasse HallstrAm,0.912069545,What's Eating Gilbert Grape,10032765,11000000,1993
9271,Brett Leonard,0.8016,Virtuosity,24048000,30000000,1995
2064,Jon Turteltaub,10.70923624,While You Were Sleeping,182057016,17000000,1995
19855,Jon Avnet,0,The War,0,0,1994
60855,Mina Shum,0,Double Happiness,759393,0,1994
236,PJ Hogan,5.039879667,Muriel's Wedding,15119639,3000000,1994
48287,Melanie Mayron,0,The Baby-Sitters Club,0,0,1995
3049,Tom Shadyac,7.1478264,Ace Ventura: Pet Detective,107217396,15000000,1994
2759,Stephan Elliott,0,"The Adventures of Priscilla, Queen of the Desert",11220670,0,1994
12635,Iain Softley,0,Backbeat,0,0,1994
10497,Roman Polanski,0.372561,Bitter Moon,1862805,5000000,1992
11382,Woody Allen,0,Bullets Over Broadway,0,0,1994
9331,Phillip Noyce,3.482059952,Clear and Present Danger,215887717,62000000,1994
10731,Joel Schumacher,2.613671356,The Client,117615211,45000000,1994
10464,Jessie Nelson,0,"Corrina, Corrina",0,0,1994
34152,Spike Lee,0,Crooklyn,0,0,1994
9495,Alex Proyas,6.266666667,The Crow,94000000,15000000,1994
29973,Ron Shelton,0,Cobb,1007583,0,1994
888,Brian Levant,7.426765391,The Flintstones,341631208,46000000,1994
13,Robert Zemeckis,12.32627998,Forrest Gump,677945399,55000000,1994
712,Mike Newell,42.45013867,Four Weddings and a Funeral,254700832,6000000,1994
16295,John Singleton,0,Higher Learning,38290723,0,1995
48992,Darnell Martin,0,I Like It Like That,1777020,0,1994
10879,Charles Shyer,1.376605933,I Love Trouble,61947267,45000000,1994
10660,Andrew Bergman,0,It Could Happen to You,0,0,1994
10714,Stephen Sommers,0,The Jungle Book,0,0,1994
41647,Ray MAller,0,"The Wonderful, Horrible Life of Leni Riefenstahl",449707,0,1993
8587,Roger Allers,17.51648391,The Lion King,788241776,45000000,1994
8587,Rob Minkoff,17.51648391,The Lion King,788241776,45000000,1994
1689,Bernardo Bertolucci,0.138803971,Little Buddha,4858139,35000000,1993
11596,Wes Craven,1.292155786,New Nightmare,18090181,14000000,1994
854,Chuck Russell,15.28623509,The Mask,351583407,23000000,1994
9359,Richard Donner,0,Maverick,0,0,1994
23333,Alan Rudolph,0,Mrs. Parker and the Vicious Circle,0,0,1994
36593,Peter Segal,1.704419933,The Naked Gun 33â: The Final Insult,51132598,30000000,1994
12280,Ron Howard,0,The Paper,0,6000000,1994
2788,Ben Stiller,1.746073913,Reality Bites,20079850,11500000,1994
10427,John Dahl,0.25,Red Rock West,2000000,8000000,1993
11011,Donald Petrie,0,RiÂ¢hie RiÂ¢h,0,40000000,1994
49803,Robert Allan Ackerman,0,Safe Passage,0,0,1994
8987,Curtis Hanson,0,The River Wild,0,45000000,1994
1637,Jan de Bont,11.68160483,Speed,350448145,30000000,1994
15128,Ron Underwood,0,Speechless,0,0,1994
8831,Peter Hyams,3.764688185,Timecop,101646581,27000000,1994
36955,James Cameron,3.294629661,True Lies,378882411,115000000,1994
10449,Luis Mandoki,0,When a Man Loves a Woman,50021959,0,1994
10395,Mike Nichols,0,Wolf,0,0,1994
12160,Lawrence Kasdan,0.397650794,Wyatt Earp,25052000,63000000,1994
40480,Damian Harris,0,Bad Company,0,0,1995
52038,Suri Krishnamma,0,A Man of No Importance,953,0,1994
29444,Jefery Levy,0,S.F.W.,0,0,1994
26352,Keenen Ivory Wayans,2.9392418,A Low Down Dirty Shame,29392418,10000000,1994
39953,Robert Lee King,0,"Boys Life: Three Stories of Love, Lust, and Liberation",0,0,1994
39953,Brian Sloan,0,"Boys Life: Three Stories of Love, Lust, and Liberation",0,0,1994
41580,Yves Angelo,0,Colonel Chabert,0,0,1994
315,Russ Meyer,0,"Faster, Pussycat! Kill! Kill!",0,45000,1965
22067,Doug McHenry,2.978788714,Jason's Lyric,20851521,7000000,1994
18242,Dave Borthwick,0,The Secret Adventures of Tom Thumb,0,0,1993
11667,Steven E de Souza,2.840672029,Street Fighter,99423521,35000000,1994
32502,Wallace Wolodarsky,0,Coldblooded,0,0,1995
267188,Michael A Nickles,0,Desert Winds,0,0,1997
28732,Paul Warner,0,Fall Time,0,0,1995
75555,Vincent Robert,0,The Fear,0,0,1995
42981,Theodore Thomas,0,Frank and Ollie,0,0,1995
278939,Lucas Platt,0,Girl in the Cadillac,0,0,1995
291731,Ross Kagan Marks,0,Homage,0,0,1995
226229,Paul Williams,0,Mirage,0,0,1995
203119,Robert Wuhl,0,Open Season,0,0,1996
172923,Roberto Sneider,0,Dos CrÃ­menes,0,0,1995
316098,Jack Baxter,0,Brother Minister: The Assassination of Malcolm X,0,0,1995
316098,Jefri Aalmuhammed,0,Brother Minister: The Assassination of Malcolm X,0,0,1995
8011,Andrew Morahan,1.415384615,Highlander: The Final Dimension,36800000,26000000,1994
171857,Michael Corrente,0,Federal Hill,0,0,1995
2654,John Carpenter,1.118325,In the Mouth of Madness,8946600,8000000,1994
18069,John G Avildsen,0,8 Seconds,0,0,1994
19092,Jeff Pollack,0,Above the Rim,0,0,1994
2758,Barry Sonnenfeld,0,Addams Family Values,48919043,0,1993
38129,Thomas Schlamme,0,Martin Lawrence: You So Crazy,0,0,1994
10436,Martin Scorsese,0.948689412,The Age of Innocence,32255440,34000000,1993
13595,Michael Lehmann,0,Airheads,0,0,1994
46094,Paul Michael Glaser,1.230181499,The Air Up There,21011500,17080000,1994
9409,John Badham,0,Another Stakeout,0,0,1993
11853,Jonathan Kaplan,0,Bad Girls,15240435,0,1994
16771,Whit Stillman,0,Barcelona,0,3200000,1994
46924,Bill Forsyth,0,Being Human,0,40000000,1994
11041,Penelope Spheeris,0,The Beverly Hillbillies,0,0,1993
306,John Landis,2.38417978,Beverly Hills Cop III,119208989,50000000,1994
14522,Caroline Thompson,0,Black Beauty,0,0,1994
26203,Michael Apted,0,Blink,16668552,0,1994
178,Stephen Hopkins,0,Blown Away,30156002,0,1994
